,Department,Approved,Filled,Vacant
0,Executive,2,2,0
1,Flight Operations,268,155,113
2,Human Resources,6,3,3
3,Finance & Support Services,65,35,30
4,Commercial,91,39,52
5,Ground Operations,240,142,98
6,Internal Audit,3,2,1
7,Corporate Quality,12,7,5
8,Safety and Security,54,20,34
9,Legal,4,1,3
10,Maintenance & Engineering,119,43,76
11,Kenya,21,15,6
12,Tanzania,18,17,1
13,Bujumbura,9,8,1
14,Congo-Kinshasa,6,3,3
15,South Sudan,9,6,3
16,South Africa,9,0,9
17,London,9,0,9
18,Dubai,7,3,4
19,India,1,1,0
20,Total,953,502,451
