,Sub-county,Functional water sources,Water sources with WUCs,Water without WUCs sources
0,Awach,65,48,17
1,Bungatira SC,45,35,10
2,Paicho SC,63,45,18
3,Patiko SC,46,30,16
4,Palaro SC,39,20,19
5,Unyama SC,65,45,20
6,Laroo Division,59,38,21
7,Layibi Division,58,38,20
8,Pece Division,53,40,13
9,Bardege Division,59,45,14
10,TOTAL,552,384,168
